iter	Passed	Remaining
0	34	34401
1	52	26094
2	70	23583
3	91	22700
4	112	22436
5	131	21731
6	148	21087
7	168	20852
8	186	20571
9	203	20112
10	222	19992
11	238	19654
12	260	19751
13	283	19983
14	312	20512
15	334	20586
16	357	20683
17	379	20709
18	398	20558
19	423	20772
20	462	21564
21	518	23063
22	547	23256
23	575	23386
24	610	23821
25	637	23885
26	664	23952
27	691	24018
28	718	24057
29	747	24154
30	824	25784
31	852	25802
32	923	27069
33	961	27329
34	984	27145
35	1014	27163
36	1053	27413
37	1081	27372
38	1143	28166
39	1175	28223
40	1205	28190
41	1240	28301
42	1270	28278
43	1306	28392
44	1347	28588
45	1386	28752
46	1429	28995
47	1470	29169
48	1545	29995
49	1599	30394
50	1664	30978
51	1719	31345
52	1754	31340
53	1778	31163
54	1797	30877
55	1819	30666
56	1838	30412
57	1856	30159
58	1877	29945
59	1896	29706
60	1912	29439
61	1932	29242
62	1953	29049
63	1975	28892
64	1999	28766
65	2021	28613
66	2049	28539
67	2072	28404
68	2104	28398
69	2125	28242
70	2152	28165
71	2183	28147
72	2237	28417
73	2263	28327
74	2288	28223
75	2306	28036
76	2332	27955
77	2350	27786
78	2368	27616
79	2388	27465
80	2406	27308
81	2423	27135
82	2459	27174
83	2498	27246
84	2533	27272
85	2560	27210
86	2581	27087
87	2599	26943
88	2616	26785
89	2636	26662
90	2657	26546
91	2675	26407
92	2693	26265
93	2711	26129
94	2729	26005
95	2748	25880
96	2769	25777
97	2788	25662
98	2806	25541
99	2824	25420
100	2843	25308
101	2862	25199
102	2878	25069
103	2899	24982
104	2918	24875
105	2936	24767
106	2954	24656
107	2976	24581
108	3006	24573
109	3031	24531
110	3062	24529
111	3093	24526
112	3132	24592
113	3175	24676
114	3199	24622
115	3231	24628
116	3266	24653
117	3308	24731
118	3341	24740
119	3379	24780
120	3411	24784
121	3448	24816
122	3508	25012
123	3548	25066
124	3577	25039
125	3612	25058
126	3633	24975
127	3658	24924
128	3686	24892
129	3706	24805
130	3730	24744
131	3756	24700
132	3785	24678
133	3813	24642
134	3838	24597
135	3862	24539
136	3911	24638
137	3932	24563
138	3956	24504
139	3988	24502
140	4007	24413
141	4026	24327
142	4046	24250
143	4067	24181
144	4090	24117
145	4108	24029
146	4129	23963
147	4154	23916
148	4177	23856
149	4195	23774
150	4212	23684
151	4232	23613
152	4251	23534
153	4269	23455
154	4288	23380
155	4309	23317
156	4329	23245
157	4349	23176
158	4367	23100
159	4384	23018
160	4405	22956
161	4427	22901
162	4445	22825
163	4463	22755
164	4483	22689
165	4501	22616
166	4520	22549
167	4540	22484
168	4558	22414
169	4577	22348
170	4598	22291
171	4617	22228
172	4636	22166
173	4654	22093
174	4673	22031
175	4692	21969
176	4712	21913
177	4732	21853
178	4754	21806
179	4771	21735
180	4795	21700
181	4814	21640
182	4832	21572
183	4851	21513
184	4870	21457
185	4887	21389
186	4907	21334
187	4926	21279
188	4945	21223
189	4968	21180
190	4986	21122
191	5006	21070
192	5023	21006
193	5043	20954
194	5064	20906
195	5083	20850
196	5099	20787
197	5120	20741
198	5140	20691
199	5159	20636
200	5177	20581
201	5198	20536
202	5219	20491
203	5237	20435
204	5256	20383
205	5273	20326
206	5292	20273
207	5313	20232
208	5333	20183
209	5351	20133
210	5371	20087
211	5390	20035
212	5422	20035
213	5440	19983
214	5459	19932
215	5479	19887
216	5500	19845
217	5519	19800
218	5541	19763
219	5561	19716
220	5581	19672
221	5602	19634
222	5623	19594
223	5644	19555
224	5669	19529
225	5687	19479
226	5706	19430
227	5727	19393
228	5747	19350
229	5766	19304
230	5785	19260
231	5802	19208
232	5822	19167
233	5841	19122
234	5859	19073
235	5878	19029
236	5897	18987
237	5920	18955
238	5940	18915
239	5958	18869
240	5976	18822
241	5998	18790
242	6033	18796
243	6066	18794
244	6099	18797
245	6224	19078
246	6298	19200
247	6338	19218
248	6378	19236
249	6429	19287
250	6500	19397
251	6537	19403
252	6560	19369
253	6582	19331
254	6603	19293
255	6626	19257
256	6649	19225
257	6672	19191
258	6698	19165
259	6722	19133
260	6750	19114
261	6775	19085
262	6805	19072
263	6830	19043
264	6851	19002
265	6875	18971
266	6897	18935
267	6917	18894
268	6936	18850
269	6954	18802
270	6972	18755
271	6989	18707
272	7006	18658
273	7026	18618
274	7047	18580
275	7066	18537
276	7085	18493
277	7101	18444
278	7118	18396
279	7136	18351
280	7155	18309
281	7172	18262
282	7191	18220
283	7211	18181
284	7228	18133
285	7248	18096
286	7268	18056
287	7285	18011
288	7302	17966
289	7320	17923
290	7339	17882
291	7357	17840
292	7375	17796
293	7392	17752
294	7412	17715
295	7429	17669
296	7447	17629
297	7467	17591
298	7485	17549
299	7502	17505
300	7520	17465
301	7544	17437
302	7562	17396
303	7581	17358
304	7614	17350
305	7639	17327
306	7657	17284
307	7679	17254
308	7703	17226
309	7721	17187
310	7743	17155
311	7771	17137
312	7799	17118
313	7833	17114
314	7896	17171
315	7942	17192
316	7992	17220
317	8031	17224
318	8075	17240
319	8118	17251
320	8157	17255
321	8192	17249
322	8219	17226
323	8243	17199
324	8277	17190
325	8302	17165
326	8320	17125
327	8338	17083
328	8366	17063
329	8390	17035
330	8411	17001
331	8433	16968
332	8456	16938
333	8480	16910
334	8516	16906
335	8543	16883
336	8585	16890
337	8634	16911
338	8678	16921
339	8721	16929
340	8758	16926
341	8779	16891
342	8802	16860
343	8822	16823
344	8842	16788
345	8862	16751
346	8878	16708
347	8896	16668
348	8914	16627
349	8931	16586
350	8948	16545
351	8963	16500
352	8981	16460
353	8998	16420
354	9017	16383
355	9035	16345
356	9056	16311
357	9075	16275
358	9094	16238
359	9114	16202
360	9131	16164
361	9152	16131
362	9171	16093
363	9191	16060
364	9210	16024
365	9231	15991
366	9251	15956
367	9273	15925
368	9296	15896
369	9317	15864
370	9339	15834
371	9359	15799
372	9377	15763
373	9395	15726
374	9412	15687
375	9431	15652
376	9448	15613
377	9463	15571
378	9482	15537
379	9505	15508
380	9524	15473
381	9545	15442
